ticker,fiscal_year_end,metric_name,root_cause_category,resolution_type,blocking_quarter,blocking_10q_accession,annual_10k_accession,affected_quarters,resolved_quarters,any_quarter_resolved,representative_error_text,warehouse_evidence_finding,reusable_concept_found
NVDA,2020-01-26,operating_income,TRUE_SOURCE_DATA_ABSENCE,TRUE_SOURCE_DATA_ABSENCE,Q1,0001045810-19-000079,0001045810-20-000010,Q1;Q2;Q3;Q4,,False,Q1: row not found — לא נמצאה אף שורת 'operating_income' בתוך Statement role ראשי.,NO_PLAUSIBLE_FACT_IN_FILING,False
NVDA,2020-01-26,pretax_income,TRUE_SOURCE_DATA_ABSENCE,TRUE_SOURCE_DATA_ABSENCE,Q1,0001045810-19-000079,0001045810-20-000010,Q1;Q2;Q3;Q4,,False,Q1: row not found — לא נמצאה אף שורת 'pretax_income' בתוך Statement role ראשי.,NO_PLAUSIBLE_FACT_IN_FILING,False
NVDA,2020-01-26,revenue,TRUE_SOURCE_DATA_ABSENCE,TRUE_SOURCE_DATA_ABSENCE,Q1,0001045810-19-000079,0001045810-20-000010,Q1;Q2;Q3;Q4,,False,Q1: row not found — לא נמצאה אף שורת 'revenue' בתוך Statement role ראשי.,NO_PLAUSIBLE_FACT_IN_FILING,False
PANW,2021-07-31,pretax_income,CONCEPT_REUSE_CANDIDATE,GENERAL_RULE_FIX,Q1,0001327567-20-000041,0001327567-21-000029,Q1;Q2;Q3;Q4,,False,Q1: row not found — לא נמצאה אף שורת 'pretax_income' בתוך Statement role ראשי.,PLAUSIBLE_FACT_STANDARD_CONCEPT,True
PANW,2021-07-31,revenue,CONCEPT_REUSE_CANDIDATE,GENERAL_RULE_FIX,Q1,0001327567-20-000041,0001327567-21-000029,Q1;Q2;Q3;Q4,,False,"Q1: row not found — לא ניתן לזהות שורת 'revenue' יחידה וחד-משמעית (מועמדים: 2, tier-B: 0).",PLAUSIBLE_FACT_STANDARD_CONCEPT,True
PANW,2022-07-31,pretax_income,CONCEPT_REUSE_CANDIDATE,GENERAL_RULE_FIX,Q1,0001327567-21-000040,0001327567-22-000028,Q1;Q2;Q3;Q4,,False,Q1: row not found — לא נמצאה אף שורת 'pretax_income' בתוך Statement role ראשי.,PLAUSIBLE_FACT_STANDARD_CONCEPT,True
PANW,2022-07-31,revenue,CONCEPT_REUSE_CANDIDATE,GENERAL_RULE_FIX,Q1,0001327567-21-000040,0001327567-22-000028,Q1;Q2;Q3;Q4,,False,"Q1: row not found — לא ניתן לזהות שורת 'revenue' יחידה וחד-משמעית (מועמדים: 2, tier-B: 0).",PLAUSIBLE_FACT_STANDARD_CONCEPT,True
PANW,2023-07-31,revenue,CONCEPT_REUSE_CANDIDATE,GENERAL_RULE_FIX,Q1,0001327567-22-000038,0001327567-23-000024,Q1;Q2;Q3;Q4,,False,"Q1: row not found — לא ניתן לזהות שורת 'revenue' יחידה וחד-משמעית (מועמדים: 2, tier-B: 0).",PLAUSIBLE_FACT_STANDARD_CONCEPT,True
PANW,2024-07-31,revenue,CONCEPT_REUSE_CANDIDATE,GENERAL_RULE_FIX,Q1,0001327567-23-000032,0001327567-24-000029,Q1;Q2;Q3;Q4,,False,"Q1: row not found — לא ניתן לזהות שורת 'revenue' יחידה וחד-משמעית (מועמדים: 2, tier-B: 0).",PLAUSIBLE_FACT_STANDARD_CONCEPT,True
PANW,2025-07-31,revenue,CONCEPT_REUSE_CANDIDATE,GENERAL_RULE_FIX,Q1,0001327567-24-000040,0001327567-25-000027,Q1;Q2;Q3;Q4,,False,"Q1: row not found — לא ניתן לזהות שורת 'revenue' יחידה וחד-משמעית (מועמדים: 2, tier-B: 0).",PLAUSIBLE_FACT_STANDARD_CONCEPT,True
