ticker,fiscal_year_end,metric_name,root_cause_category,primary_category_from_error_text,blocking_quarter,blocking_quarter_accession,affected_quarters,resolved_quarters,any_quarter_resolved,concept_qname,representative_error_text,warehouse_evidence_finding,has_dimensioned_candidates,candidate_concepts_count
CRWD,2024-01-31,pretax_income,CONTEXT_OR_DURATION_NOT_RESOLVED,DIRECT_QUARTER_NOT_RESOLVED,Q1,0001535527-23-000014,Q1;Q2;Q3;Q4,,False,,Q1 quarter-duration value did not resolve to a single deterministic fact,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,1
CRWD,2024-01-31,revenue,CONTEXT_OR_DURATION_NOT_RESOLVED,DIRECT_QUARTER_NOT_RESOLVED,Q1,0001535527-23-000014,Q1;Q2;Q3;Q4,,False,,Q1 quarter-duration value did not resolve to a single deterministic fact,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,True,8
CRWD,2026-01-31,capex,CONTEXT_OR_DURATION_NOT_RESOLVED,DIRECT_QUARTER_NOT_RESOLVED,Q1,0001535527-25-000019,Q1;Q2;Q3;Q4,,False,,Q1 quarter-duration value did not resolve to a single deterministic fact,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,1
CRWD,2026-01-31,income_tax_expense,CONTEXT_OR_DURATION_NOT_RESOLVED,DIRECT_QUARTER_NOT_RESOLVED,Q1,0001535527-25-000019,Q1;Q2;Q3;Q4,,False,,Q1 quarter-duration value did not resolve to a single deterministic fact,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,2
CRWD,2026-01-31,operating_cash_flow,CONTEXT_OR_DURATION_NOT_RESOLVED,DIRECT_QUARTER_NOT_RESOLVED,Q1,0001535527-25-000019,Q1;Q2;Q3;Q4,,False,,Q1 quarter-duration value did not resolve to a single deterministic fact,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,1
CRWD,2026-01-31,operating_income,CONTEXT_OR_DURATION_NOT_RESOLVED,DIRECT_QUARTER_NOT_RESOLVED,Q1,0001535527-25-000019,Q1;Q2;Q3;Q4,,False,,Q1 quarter-duration value did not resolve to a single deterministic fact,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,1
CRWD,2026-01-31,pretax_income,CONTEXT_OR_DURATION_NOT_RESOLVED,DIRECT_QUARTER_NOT_RESOLVED,Q1,0001535527-25-000019,Q1;Q2;Q3;Q4,,False,,Q1 quarter-duration value did not resolve to a single deterministic fact,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,1
CRWD,2026-01-31,revenue,CONTEXT_OR_DURATION_NOT_RESOLVED,DIRECT_QUARTER_NOT_RESOLVED,Q1,0001535527-25-000019,Q1;Q2;Q3;Q4,,False,,Q1 quarter-duration value did not resolve to a single deterministic fact,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,True,11
GOOGL,2021-12-31,capex,CONTEXT_OR_DURATION_NOT_RESOLVED,YTD_FACT_NOT_RESOLVED,Q2,0001652044-21-000047,Q2;Q3;Q4,Q1,True,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,Q2: neither a direct quarter value nor a 6-month YTD value resolved deterministically,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,1
GOOGL,2021-12-31,operating_cash_flow,CONTEXT_OR_DURATION_NOT_RESOLVED,YTD_FACT_NOT_RESOLVED,Q2,0001652044-21-000047,Q2;Q3;Q4,Q1,True,us-gaap:NetCashProvidedByUsedInOperatingActivities,Q2: neither a direct quarter value nor a 6-month YTD value resolved deterministically,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,1
GOOGL,2022-12-31,capex,CONTEXT_OR_DURATION_NOT_RESOLVED,YTD_FACT_NOT_RESOLVED,Q2,0001652044-22-000071,Q2;Q3;Q4,Q1,True,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,Q2: neither a direct quarter value nor a 6-month YTD value resolved deterministically,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,1
GOOGL,2022-12-31,operating_cash_flow,CONTEXT_OR_DURATION_NOT_RESOLVED,YTD_FACT_NOT_RESOLVED,Q2,0001652044-22-000071,Q2;Q3;Q4,Q1,True,us-gaap:NetCashProvidedByUsedInOperatingActivities,Q2: neither a direct quarter value nor a 6-month YTD value resolved deterministically,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,1
GOOGL,2023-12-31,capex,CONTEXT_OR_DURATION_NOT_RESOLVED,YTD_FACT_NOT_RESOLVED,Q2,0001652044-23-000070,Q2;Q3;Q4,Q1,True,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,Q2: neither a direct quarter value nor a 6-month YTD value resolved deterministically,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,1
GOOGL,2023-12-31,operating_cash_flow,CONTEXT_OR_DURATION_NOT_RESOLVED,YTD_FACT_NOT_RESOLVED,Q2,0001652044-23-000070,Q2;Q3;Q4,Q1,True,us-gaap:NetCashProvidedByUsedInOperatingActivities,Q2: neither a direct quarter value nor a 6-month YTD value resolved deterministically,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,1
GOOGL,2025-12-31,capex,CONTEXT_OR_DURATION_NOT_RESOLVED,YTD_FACT_NOT_RESOLVED,Q2,0001652044-25-000062,Q2;Q3;Q4,Q1,True,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,Q2: neither a direct quarter value nor a 6-month YTD value resolved deterministically,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,1
GOOGL,2025-12-31,operating_cash_flow,CONTEXT_OR_DURATION_NOT_RESOLVED,YTD_FACT_NOT_RESOLVED,Q2,0001652044-25-000062,Q2;Q3;Q4,Q1,True,us-gaap:NetCashProvidedByUsedInOperatingActivities,Q2: neither a direct quarter value nor a 6-month YTD value resolved deterministically,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,1
META,2021-12-31,capex,CONTEXT_OR_DURATION_NOT_RESOLVED,YTD_FACT_NOT_RESOLVED,Q2,0001326801-21-000049,Q2;Q3;Q4,Q1,True,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,Q2: neither a direct quarter value nor a 6-month YTD value resolved deterministically,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,1
META,2021-12-31,operating_cash_flow,CONTEXT_OR_DURATION_NOT_RESOLVED,YTD_FACT_NOT_RESOLVED,Q2,0001326801-21-000049,Q2;Q3;Q4,Q1,True,us-gaap:NetCashProvidedByUsedInOperatingActivities,Q2: neither a direct quarter value nor a 6-month YTD value resolved deterministically,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,1
META,2022-12-31,capex,CONTEXT_OR_DURATION_NOT_RESOLVED,YTD_FACT_NOT_RESOLVED,Q2,0001326801-22-000082,Q2;Q3;Q4,Q1,True,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,Q2: neither a direct quarter value nor a 6-month YTD value resolved deterministically,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,1
META,2022-12-31,operating_cash_flow,CONTEXT_OR_DURATION_NOT_RESOLVED,YTD_FACT_NOT_RESOLVED,Q2,0001326801-22-000082,Q2;Q3;Q4,Q1,True,us-gaap:NetCashProvidedByUsedInOperatingActivities,Q2: neither a direct quarter value nor a 6-month YTD value resolved deterministically,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,1
META,2022-12-31,revenue,AMBIGUOUS_MULTIPLE_FACTS,CONCEPT_NOT_RESOLVED,Q3,0001326801-22-000108,Q1;Q2;Q3;Q4,,False,,"Q3: row not found — לא ניתן לזהות שורת 'revenue' יחידה וחד-משמעית (מועמדים: 2, tier-B: 0).",MULTIPLE_PLAUSIBLE_FACTS_AMBIGUOUS,True,2
META,2023-12-31,capex,CONTEXT_OR_DURATION_NOT_RESOLVED,YTD_FACT_NOT_RESOLVED,Q2,0001326801-23-000093,Q2;Q3;Q4,Q1,True,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,Q2: neither a direct quarter value nor a 6-month YTD value resolved deterministically,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,1
META,2023-12-31,operating_cash_flow,CONTEXT_OR_DURATION_NOT_RESOLVED,YTD_FACT_NOT_RESOLVED,Q2,0001326801-23-000093,Q2;Q3;Q4,Q1,True,us-gaap:NetCashProvidedByUsedInOperatingActivities,Q2: neither a direct quarter value nor a 6-month YTD value resolved deterministically,PLAUSIBLE_FACT_UNEXPECTED_CONTEXT_OR_DURATION,False,1
META,2023-12-31,revenue,AMBIGUOUS_MULTIPLE_FACTS,CONCEPT_NOT_RESOLVED,Q1,0001326801-23-000067,Q1;Q2;Q3;Q4,,False,,"Q1: row not found — לא ניתן לזהות שורת 'revenue' יחידה וחד-משמעית (מועמדים: 2, tier-B: 0).",MULTIPLE_PLAUSIBLE_FACTS_AMBIGUOUS,True,2
META,2024-12-31,revenue,AMBIGUOUS_MULTIPLE_FACTS,CONCEPT_NOT_RESOLVED,Q1,0001326801-24-000049,Q1;Q2;Q3;Q4,,False,,"Q1: row not found — לא ניתן לזהות שורת 'revenue' יחידה וחד-משמעית (מועמדים: 2, tier-B: 0).",MULTIPLE_PLAUSIBLE_FACTS_AMBIGUOUS,True,2
MU,2021-09-02,pretax_income,CONCEPT_NOT_RESOLVED,CONCEPT_NOT_RESOLVED,Q1,0000723125-21-000012,Q1;Q2;Q3;Q4,,False,,"Q1: row not found — לא ניתן לזהות שורת 'pretax_income' יחידה וחד-משמעית (מועמדים: 1, tier-B: 0).",PLAUSIBLE_FACT_STANDARD_CONCEPT,False,1
MU,2022-09-01,pretax_income,CONCEPT_NOT_RESOLVED,CONCEPT_NOT_RESOLVED,Q1,0000723125-22-000004,Q1;Q2;Q3;Q4,,False,,"Q1: row not found — לא ניתן לזהות שורת 'pretax_income' יחידה וחד-משמעית (מועמדים: 1, tier-B: 0).",PLAUSIBLE_FACT_STANDARD_CONCEPT,False,1
MU,2023-08-31,pretax_income,CONCEPT_NOT_RESOLVED,CONCEPT_NOT_RESOLVED,Q1,0000723125-22-000072,Q1;Q2;Q3;Q4,,False,,"Q1: row not found — לא ניתן לזהות שורת 'pretax_income' יחידה וחד-משמעית (מועמדים: 1, tier-B: 0).",PLAUSIBLE_FACT_STANDARD_CONCEPT,False,1
NVDA,2020-01-26,capex,TRUE_SOURCE_DATA_ABSENCE,CONCEPT_NOT_RESOLVED,Q1,0001045810-19-000079,Q1;Q2;Q3;Q4,,False,,Q1: row not found — לא נמצאה אף שורת 'capex' בתוך Statement role ראשי.,NO_PLAUSIBLE_FACT_IN_FILING,False,0
NVDA,2020-01-26,income_tax_expense,TRUE_SOURCE_DATA_ABSENCE,CONCEPT_NOT_RESOLVED,Q1,0001045810-19-000079,Q1;Q2;Q3;Q4,,False,,Q1: row not found — לא נמצאה אף שורת 'income_tax_expense' בתוך Statement role ראשי.,NO_PLAUSIBLE_FACT_IN_FILING,False,0
NVDA,2020-01-26,operating_cash_flow,TRUE_SOURCE_DATA_ABSENCE,CONCEPT_NOT_RESOLVED,Q1,0001045810-19-000079,Q1;Q2;Q3;Q4,,False,,Q1: row not found — לא נמצאה אף שורת 'operating_cash_flow' בתוך Statement role ראשי.,NO_PLAUSIBLE_FACT_IN_FILING,False,0
NVDA,2020-01-26,operating_income,TRUE_SOURCE_DATA_ABSENCE,CONCEPT_NOT_RESOLVED,Q1,0001045810-19-000079,Q1;Q2;Q3;Q4,,False,,Q1: row not found — לא נמצאה אף שורת 'operating_income' בתוך Statement role ראשי.,NO_PLAUSIBLE_FACT_IN_FILING,False,0
NVDA,2020-01-26,pretax_income,TRUE_SOURCE_DATA_ABSENCE,CONCEPT_NOT_RESOLVED,Q1,0001045810-19-000079,Q1;Q2;Q3;Q4,,False,,Q1: row not found — לא נמצאה אף שורת 'pretax_income' בתוך Statement role ראשי.,NO_PLAUSIBLE_FACT_IN_FILING,False,0
NVDA,2020-01-26,revenue,TRUE_SOURCE_DATA_ABSENCE,CONCEPT_NOT_RESOLVED,Q1,0001045810-19-000079,Q1;Q2;Q3;Q4,,False,,Q1: row not found — לא נמצאה אף שורת 'revenue' בתוך Statement role ראשי.,NO_PLAUSIBLE_FACT_IN_FILING,False,0
PANW,2021-07-31,pretax_income,CONCEPT_NOT_RESOLVED,CONCEPT_NOT_RESOLVED,Q1,0001327567-20-000041,Q1;Q2;Q3;Q4,,False,,Q1: row not found — לא נמצאה אף שורת 'pretax_income' בתוך Statement role ראשי.,PLAUSIBLE_FACT_STANDARD_CONCEPT,False,1
PANW,2021-07-31,revenue,AMBIGUOUS_MULTIPLE_FACTS,CONCEPT_NOT_RESOLVED,Q1,0001327567-20-000041,Q1;Q2;Q3;Q4,,False,,"Q1: row not found — לא ניתן לזהות שורת 'revenue' יחידה וחד-משמעית (מועמדים: 2, tier-B: 0).",MULTIPLE_PLAUSIBLE_FACTS_AMBIGUOUS,True,3
PANW,2022-07-31,pretax_income,CONCEPT_NOT_RESOLVED,CONCEPT_NOT_RESOLVED,Q1,0001327567-21-000040,Q1;Q2;Q3;Q4,,False,,Q1: row not found — לא נמצאה אף שורת 'pretax_income' בתוך Statement role ראשי.,PLAUSIBLE_FACT_STANDARD_CONCEPT,False,1
PANW,2022-07-31,revenue,AMBIGUOUS_MULTIPLE_FACTS,CONCEPT_NOT_RESOLVED,Q1,0001327567-21-000040,Q1;Q2;Q3;Q4,,False,,"Q1: row not found — לא ניתן לזהות שורת 'revenue' יחידה וחד-משמעית (מועמדים: 2, tier-B: 0).",MULTIPLE_PLAUSIBLE_FACTS_AMBIGUOUS,True,3
PANW,2023-07-31,revenue,AMBIGUOUS_MULTIPLE_FACTS,CONCEPT_NOT_RESOLVED,Q1,0001327567-22-000038,Q1;Q2;Q3;Q4,,False,,"Q1: row not found — לא ניתן לזהות שורת 'revenue' יחידה וחד-משמעית (מועמדים: 2, tier-B: 0).",MULTIPLE_PLAUSIBLE_FACTS_AMBIGUOUS,True,3
PANW,2024-07-31,revenue,AMBIGUOUS_MULTIPLE_FACTS,CONCEPT_NOT_RESOLVED,Q1,0001327567-23-000032,Q1;Q2;Q3;Q4,,False,,"Q1: row not found — לא ניתן לזהות שורת 'revenue' יחידה וחד-משמעית (מועמדים: 2, tier-B: 0).",MULTIPLE_PLAUSIBLE_FACTS_AMBIGUOUS,True,3
PANW,2025-07-31,revenue,AMBIGUOUS_MULTIPLE_FACTS,CONCEPT_NOT_RESOLVED,Q1,0001327567-24-000040,Q1;Q2;Q3;Q4,,False,,"Q1: row not found — לא ניתן לזהות שורת 'revenue' יחידה וחד-משמעית (מועמדים: 2, tier-B: 0).",MULTIPLE_PLAUSIBLE_FACTS_AMBIGUOUS,True,3
